title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,genre1,genre2,genre3,,,
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,498463,,Action, Adventure, Sci-Fi,,,
La Dolce Vita,movie,"Comedy, Drama",1960,tt0053779,8,82807,,Comedy, Drama,,,,
Sissi,movie,"Comedy, Drama, History",1955,tt0048624,7,10605,,Comedy, Drama, History,,,
Sissi: The Young Empress,movie,"Drama, History",1956,tt0049762,6.6,7731,,Drama, History,,,,
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957,tt0050974,6.6,6323,,Drama, History, Romance,,,
Erin Brockovich,movie,"Biography, Drama",2000,tt0195685,7.5,235379,,Biography, Drama,,,,
As It Is in Heaven,movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18789,,Comedy, Drama, Music,,,
My Own Private Idaho,movie,Drama,1991,tt0102494,6.9,64756,,Drama,,,,,
Stranger Than Paradise,movie,"Comedy, Drama",1984,tt0088184,7.4,42185,,Comedy, Drama,,,,
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,83324,,Action, Crime, Thriller,,,
The African Queen,movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,87035,,Adventure, Drama, Romance,,,
Good Will Hunting,movie,"Drama, Romance",1997,tt0119217,8.3,1144041,,Drama, Romance,,,,
The Seventh Seal,movie,"Drama, Fantasy",1957,tt0050976,8.1,209679,,Drama, Fantasy,,,,
The Green Mile,movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1493282,,Crime, Drama, Fantasy,,,
Reservoir Dogs,movie,"Crime, Thriller",1992,tt0105236,8.3,1136397,,Crime, Thriller,,,,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,113360,,Action, Adventure, Thriller,,,
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,168363,,Biography, Crime, Drama,,,
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,56373,,Crime, Drama, Mystery,,,
Love Actually,movie,"Comedy, Drama, Romance",2003,tt0314331,7.5,559767,,Comedy, Drama, Romance,,,
Notting Hill,movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,367290,,Comedy, Drama, Romance,,,
One Flew Over the Cuckoo's Nest,movie,Drama,1975,tt0073486,8.7,1121930,,Drama,,,,,
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,595465,,Crime, Drama,,,,
The Blues Brothers,movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,222838,,Adventure, Comedy, Crime,,,
Once Were Warriors,movie,"Crime, Drama",1994,tt0110729,7.9,38287,,Crime, Drama,,,,
Wallace & Gromit: The Curse of the Were-Rabbit,movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,153874,,Adventure, Animation, Comedy,,,
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,386569,,Action, Adventure, Sci-Fi,,,
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,62176,,Drama, Music, Romance,,,
Psycho,movie,"Drama, Horror, Mystery",1960,tt0054215,8.5,755950,,Drama, Horror, Mystery,,,
D.E.B.S.,movie,"Action, Comedy, Romance",2004,tt0367631,5.4,18956,,Action, Comedy, Romance,,,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,190359,,Crime, Drama, Mystery,,,
Dogville,movie,"Crime, Drama",2003,tt0276919,8,164700,,Crime, Drama,,,,
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,927321,,Action, Adventure, Sci-Fi,,,
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,750051,,Action, Adventure, Sci-Fi,,,
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,671925,,Action, Adventure, Sci-Fi,,,
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,394763,,Action, Fantasy, Horror,,,
Starship Troopers,movie,"Action, Adventure, Sci-Fi",1997,tt0120201,7.3,336347,,Action, Adventure, Sci-Fi,,,
The Mummy,movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,483971,,Action, Adventure, Fantasy,,,
Rear Window,movie,"Drama, Mystery, Thriller",1954,tt0047396,8.5,549613,,Drama, Mystery, Thriller,,,
Apollo 13,movie,"Adventure, Drama, History",1995,tt0112384,7.7,327311,,Adventure, Drama, History,,,
The Birds,movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,213785,,Drama, Horror, Mystery,,,
Next Door,movie,"Mystery, Thriller",2005,tt0453383,6.4,10977,,Mystery, Thriller,,,,
Frenzy,movie,"Drama, Thriller",1972,tt0068611,7.4,51685,,Drama, Thriller,,,,
The Man Who Knew Too Much,movie,"Crime, Drama, Mystery",1956,tt0049470,7.4,73217,,Crime, Drama, Mystery,,,
The Lives of Others,movie,"Drama, Mystery, Thriller",2006,tt0405094,8.4,429359,,Drama, Mystery, Thriller,,,
